pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
24.58,-10.1,-90.0,top,C1,,,C_Disc_D4.7mm_W2.5mm_P5.00mm,0.1uF,tht
6.2989,-29.4,23.0,top,D1_B1,,,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,IR_LED,tht
-28.573,8.7167,-112.0,top,D2_A1,,,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,IR_LED,tht
-29.5584,-6.1341,-67.0,top,D2_B1,,,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,IR_LED,tht
29.98,6.1089,113.0,top,D3_A1,,,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,IR_LED,tht
29.008,-8.7167,68.0,top,D3_B1,,,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,IR_LED,tht
8.45,28.71,158.0,top,D4_A1,,,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,IR_LED,tht
-6.37,29.68,-157.0,top,D4_B1,,,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,IR_LED,tht
-8.5267,-28.428,-22.0,top,D_1A1,,,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,IR_LED,tht
13.208,5.207,-90.0,top,J1,,,PinHeader_1x02_P2.54mm_Vertical,5v_3Pi,tht
-24.8884,-6.7505,55.0,top,J10,,,PinHeader_1x14_P2.54mm_Vertical,ItsyBitsyRight,tht
-16.1484,5.7295,55.0,top,J11,,,PinHeader_1x14_P2.54mm_Vertical,ItsyBitsyLeft,tht
13.208,7.747,-90.0,top,J2,,,PinHeader_1x02_P2.54mm_Vertical,GND_3Pi,tht
-19.1287,33.5138,-55.0,top,J3,,,PinHeader_1x04_P2.54mm_Vertical,I2C_3V3_Exp,tht
-17.808,20.713,-90.0,bottom,J4,,,PinHeader_2x15_P2.54mm_Vertical,Conn_02x15_M5Stack_Core2,tht
10.668,-7.493,90.0,top,J5,,,PinHeader_1x02_P2.54mm_Vertical,I2C_3Pi,tht
-15.38,29.337,90.0,top,J6,,,PinHeader_1x02_P2.54mm_Vertical,3PI_SWTCH,tht
30.3216,22.3371,25.0,top,J8,,,PinHeader_1x04_P2.54mm_Vertical,ProxA,tht
33.4535,-15.598,-25.0,top,J9,,,PinHeader_1x04_P2.54mm_Vertical,ProxB,tht
-33.62,13.26,90.0,top,PWR1,,,SW_PUSH_6mm,Bttn,tht
26.84,18.5,-90.0,bottom,Q1,,,TO-92_Inline,PN2222A,tht
-24.45,21.9,-90.0,bottom,Q2,,,TO-92_Inline,PN2222A,tht
-10.74,-22.79,-90.0,bottom,Q3,,,TO-92_Inline,PN2222A,tht
23.63,24.82,180.0,bottom,Q5,,,TO-92_Inline,PN2222A,tht
0.65,6.24,180.0,bottom,Q7,,,TO-92_Inline,2N7000,tht
-1.89,2.01,0.0,bottom,Q8,,,TO-92_Inline,2N7000,tht
17.59,-17.87,0.0,bottom,R1,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,82R,tht
30.8498,-13.683,65.0,bottom,R10,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,82R,tht
12.49,-24.43,90.0,bottom,R13,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,82R,tht
-15.06,-17.34,-90.0,bottom,R15,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1K,tht
-19.71,7.31,90.0,bottom,R16,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1K,tht
17.26,11.27,0.0,bottom,R17,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1K,tht
22.4,14.03,90.0,bottom,R18,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1K,tht
6.79,11.39,180.0,bottom,R19,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4k7,tht
23.9581,29.66,150.0,top,R2,,,R_LDR_5.0x4.1mm_P3mm_Vertical,LDR,tht
6.79,13.67,180.0,bottom,R20,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4k7,tht
21.671,-31.2,30.0,top,R3,,,R_LDR_5.0x4.1mm_P3mm_Vertical,LDR,tht
25.2,-22.16,180.0,bottom,R4,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,10K_LDR,tht
25.2,-19.99,180.0,bottom,R5,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,10K_LDR,tht
-36.66,1.64,-90.0,top,R6,,,R_LDR_5.0x4.1mm_P3mm_Vertical,LDR,tht
25.2,-24.27,180.0,bottom,R7,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,10K_LDR,tht
-11.44,26.25,180.0,bottom,R9,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,82R,tht
-20.62,-28.83,0.0,top,RESET,,,SW_PUSH_6mm,Bttn,tht
16.902,-7.274,0.0,bottom,U1,,,DIP-14_W7.62mm_Socket,74LS08,tht
-2.498,-28.812,0.0,top,UD_1,,,Vishay_MOLD-3Pin,TSDP34138,tht
-28.928,2.703,-90.0,top,UD_2,,,Vishay_MOLD-3Pin,TSDP34138,tht
29.367,-2.679,90.0,top,UD_3,,,Vishay_MOLD-3Pin,TSDP34138,tht
2.432,29.111,180.0,top,UD_4,,,Vishay_MOLD-3Pin,TSDP34138,tht
11.92,-30.58,90.0,bottom,VR2_A1,,,Potentiometer_Bourns_3386P_Vertical,5K_Pot_IRLED,tht
35.48,-2.69,180.0,bottom,VR3_A1,,,Potentiometer_Bourns_3386P_Vertical,5K_Pot_IRLED,tht
-30.48,-17.8,180.0,bottom,VR4_A1,,,Potentiometer_Bourns_3386P_Vertical,5K_Pot_IRLED,tht
16.63,30.68,-90.0,bottom,VR_1A1,,,Potentiometer_Bourns_3386P_Vertical,5K_Pot_IRLED,tht
